TYPE,NAME,DESC,SAMPLE_ID,VISIBLE_ID,LATITUDE,LONGITUDE,TOWN,LGA,STATE,COUNTRY
T,NULL,NULL,,,7.047777477140272,3.7249058213284845,NULL,Remo North,Ogun,Nigeria
T,NULL,NULL,637211577,100,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.491001664157622,4.302433239108192,NULL,Ogun Waterside,Ogun,Nigeria
T,NULL,NULL,637211614,137,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.011220619110148,4.98775644023546,NULL,Ifedayo,Osun,Nigeria
T,NULL,NULL,637211805,328,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,10.250451128039558,8.039779759562839,Ikulu,Zangon Kataf,Kaduna,Nigeria
T,NULL,NULL,637211964,487,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.342415742193282,8.663665050393586,NULL,Akamkpa,Cross River,Nigeria
T,NULL,NULL,637211763,286,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.363800220161593,5.819148878160099,NULL,Uhunmwonde,Edo,Nigeria
T,NULL,NULL,637211590,113,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.293098232194836,8.25133837153817,NULL,Akamkpa,Cross River,Nigeria
T,NULL,NULL,637211832,355,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.207937944197482,7.9519299481515215,NULL,Ibiono Ibom,Akwa Ibom,Nigeria
T,NULL,NULL,637211711,234,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.016596788203387,7.456599035892869,NULL,Ukwa East,Abia,Nigeria
T,NULL,NULL,637211794,317,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.641837949090373,5.293362568938579,NULL,Ifelodun,Kwara,Nigeria
T,NULL,NULL,637211801,324,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.35904372313054,10.781621224448827,NULL,Kurmi,Taraba,Nigeria
T,NULL,NULL,637211907,430,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.962617188142943,10.945743824982792,NULL,Sardauna,Taraba,Nigeria
T,NULL,NULL,637211591,114,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.609579281153941,3.954246127662298,NULL,NULL,Lagos,Nigeria
T,NULL,NULL,637211724,247,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.185300398198166,6.386974908359309,NULL,Kolokuma/Opokuma,Bayelsa,Nigeria
T,NULL,NULL,637211556,79,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.223029640196998,8.192049613306569,NULL,Odukpani,Cross River,Nigeria
T,NULL,NULL,637211631,154,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.217114482103682,5.7070372557725175,NULL,Yagba East,Kogi,Nigeria
T,NULL,NULL,637211767,290,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.62944119809076,5.418408071867799,NULL,Ifelodun,Kwara,Nigeria
T,NULL,NULL,637211773,296,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.529364301125227,4.12267934249608,NULL,Lagelu,Oyo,Nigeria
T,NULL,NULL,637211883,406,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.317272062131863,10.851420364969988,NULL,Kurmi,Taraba,Nigeria
T,NULL,NULL,637211519,42,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.482027660095355,5.081001026691512,NULL,Ifelodun,Kwara,Nigeria
T,NULL,NULL,637211880,403,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.528286322125268,3.9806556966227276,NULL,Akinyele,Oyo,Nigeria
T,NULL,NULL,637211885,408,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.570421884092596,5.405741896638847,NULL,Ifelodun,Kwara,Nigeria
T,NULL,NULL,637211489,12,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.767408703180095,8.231664904810984,NULL,Yakurr,Cross River,Nigeria
T,NULL,NULL,637211904,427,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.165452205167767,5.240813669890056,NULL,Ovia South-West,Edo,Nigeria
T,NULL,NULL,637211876,399,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.962442099111669,5.886251442415705,NULL,Ijumu,Kogi,Nigeria
T,NULL,NULL,637211739,262,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.3448411931932185,7.133205298607212,NULL,Ngor-Okpala,Imo,Nigeria
T,NULL,NULL,637211911,434,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.942944083143544,5.584957549930571,NULL,Ose,Ondo,Nigeria
T,NULL,NULL,637211748,271,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.30631719010087,4.951643831164392,NULL,Isin,Kwara,Nigeria
T,NULL,NULL,637211750,273,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.141736681168496,5.465302679051952,NULL,Ovia North-East,Edo,Nigeria
T,NULL,NULL,637211620,143,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,9.504759611063179,4.920111474846572,NULL,Mashegu,Niger,Nigeria
T,NULL,NULL,637211580,103,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,4.826333611209293,6.8432294888121445,NULL,Emuoha,Rivers,Nigeria
T,NULL,NULL,637211569,92,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.9246184521441165,4.049107926531142,NULL,Ijebu North East,Ogun,Nigeria
T,NULL,NULL,637211759,282,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.938457081112446,6.035551468931534,NULL,Ijumu,Kogi,Nigeria
T,NULL,NULL,637211779,302,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.282871161101653,5.92371082724498,NULL,Mopa-Muro,Kogi,Nigeria
T,NULL,NULL,637211823,346,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.793738489116976,10.204902355169176,NULL,Donga,Taraba,Nigeria
T,NULL,NULL,637211944,467,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.339181807193398,7.595388516774142,NULL,Ikwuano,Abia,Nigeria
T,NULL,NULL,637211749,272,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.10527422910721,7.3482594078013435,NULL,Toto,Nasarawa,Nigeria
T,NULL,NULL,637211746,269,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,10.814503295021638,10.094405641300634,Ganjuwa A,Ganjuwa,Bauchi,Nigeria
T,NULL,NULL,637211849,372,NULL,NULL,NULL,NULL,NULL,NULL
